model - 1591451362, 1591451362.414, 0.55, 0.2492,  0.51, 0.2593
model - 1591451362, 1591451362.523, 0.44, 0.2724,  0.48, 0.25
model - 1591451362, 1591451362.667, 0.43, 0.2514,  0.49, 0.2502
model - 1591451362, 1591451362.776, 0.56, 0.2478,  0.45, 0.2634
model - 1591451362, 1591451362.906, 0.45, 0.2633,  0.37, 0.2566
model - 1591451362, 1591451363.015, 0.57, 0.2453,  0.44, 0.252
model - 1591451362, 1591451363.12, 0.58, 0.2477,  0.5, 0.249
model - 1591451362, 1591451363.231, 0.57, 0.2471,  0.49, 0.25
model - 1591451362, 1591451363.337, 0.43, 0.254,  0.45, 0.2527
model - 1591451362, 1591451363.451, 0.54, 0.2485,  0.42, 0.2528
model - 1591451362, 1591451363.569, 0.53, 0.2488,  0.54, 0.2478
model - 1591451362, 1591451363.669, 0.49, 0.25,  0.5, 0.2492
model - 1591451362, 1591451363.77, 0.65, 0.2464,  0.57, 0.246
model - 1591451362, 1591451363.872, 0.47, 0.2506,  0.48, 0.2506
model - 1591451362, 1591451363.971, 0.5, 0.2498,  0.5, 0.2504
model - 1591451362, 1591451364.086, 0.51, 0.2495,  0.53, 0.2476
model - 1591451362, 1591451364.188, 0.47, 0.2523,  0.49, 0.2497
model - 1591451362, 1591451364.319, 0.47, 0.2506,  0.47, 0.2496
model - 1591451362, 1591451364.42, 0.47, 0.2493,  0.61, 0.2492
model - 1591451362, 1591451364.52, 0.57, 0.2494,  0.46, 0.2511
model - 1591451362, 1591451364.62, 0.48, 0.2502,  0.52, 0.2495
model - 1591451362, 1591451364.721, 0.43, 0.2518,  0.46, 0.251
model - 1591451362, 1591451364.824, 0.51, 0.25,  0.48, 0.2506
model - 1591451362, 1591451364.948, 0.54, 0.2492,  0.47, 0.2507
model - 1591451362, 1591451365.064, 0.56, 0.2488,  0.55, 0.2488
model - 1591451362, 1591451365.193, 0.48, 0.2506,  0.49, 0.2501
model - 1591451362, 1591451365.342, 0.52, 0.2495,  0.57, 0.2485
model - 1591451362, 1591451365.445, 0.49, 0.2502,  0.55, 0.2492
model - 1591451362, 1591451365.546, 0.4, 0.2516,  0.46, 0.25
model - 1591451362, 1591451365.646, 0.46, 0.2502,  0.56, 0.2493
model - 1591451362, 1591451365.747, 0.53, 0.2499,  0.53, 0.2496
model - 1591451362, 1591451365.861, 0.54, 0.2493,  0.49, 0.2501
model - 1591451362, 1591451365.993, 0.56, 0.2483,  0.46, 0.2517
model - 1591451362, 1591451366.117, 0.51, 0.25,  0.51, 0.2496
model - 1591451362, 1591451366.22, 0.43, 0.2547,  0.42, 0.2551
model - 1591451362, 1591451366.316, 0.49, 0.2506,  0.5, 0.25
model - 1591451362, 1591451366.46, 0.51, 0.2499,  0.47, 0.2505
model - 1591451362, 1591451366.576, 0.41, 0.2521,  0.54, 0.2492
model - 1591451362, 1591451366.708, 0.45, 0.2505,  0.57, 0.2497
model - 1591451362, 1591451366.812, 0.48, 0.2501,  0.62, 0.2487
model - 1591451362, 1591451366.911, 0.48, 0.2502,  0.59, 0.2488
model - 1591451362, 1591451367.009, 0.47, 0.2505,  0.48, 0.2504
model - 1591451362, 1591451367.109, 0.56, 0.2491,  0.59, 0.2485
model - 1591451362, 1591451367.209, 0.58, 0.2485,  0.48, 0.2504
model - 1591451362, 1591451367.308, 0.48, 0.2505,  0.51, 0.2499
model - 1591451362, 1591451367.422, 0.47, 0.2508,  0.48, 0.2507
model - 1591451362, 1591451367.561, 0.5, 0.2501,  0.56, 0.2486
model - 1591451362, 1591451367.663, 0.47, 0.2508,  0.64, 0.2465
model - 1591451362, 1591451367.762, 0.42, 0.2521,  0.5, 0.25
model - 1591451362, 1591451367.882, 0.47, 0.2507,  0.49, 0.2502
model - 1591451362, 1591451367.996, 0.48, 0.2504,  0.54, 0.2489
model - 1591451362, 1591451368.123, 0.45, 0.251,  0.52, 0.2493
model - 1591451362, 1591451368.238, 0.61, 0.2479,  0.47, 0.2503
model - 1591451362, 1591451368.38, 0.48, 0.2503,  0.51, 0.2502
model - 1591451362, 1591451368.479, 0.59, 0.2472,  0.49, 0.2503
model - 1591451362, 1591451368.577, 0.45, 0.2514,  0.59, 0.2476
model - 1591451362, 1591451368.691, 0.51, 0.2497,  0.55, 0.2488
model - 1591451362, 1591451368.813, 0.46, 0.2499,  0.5, 0.2498
model - 1591451362, 1591451368.915, 0.45, 0.2499,  0.43, 0.25
model - 1591451362, 1591451369.035, 0.51, 0.2499,  0.56, 0.2498
model - 1591451362, 1591451369.163, 0.52, 0.2499,  0.51, 0.25
model - 1591451362, 1591451369.28, 0.49, 0.25,  0.49, 0.2499
model - 1591451362, 1591451369.384, 0.42, 0.2505,  0.49, 0.25
model - 1591451362, 1591451369.505, 0.61, 0.2492,  0.47, 0.2502
model - 1591451362, 1591451369.623, 0.48, 0.2502,  0.44, 0.2509
model - 1591451362, 1591451369.734, 0.59, 0.2482,  0.56, 0.2482
model - 1591451362, 1591451369.839, 0.47, 0.2508,  0.54, 0.2483
model - 1591451362, 1591451369.939, 0.45, 0.2518,  0.5, 0.25
model - 1591451362, 1591451370.083, 0.49, 0.2508,  0.45, 0.252
model - 1591451362, 1591451370.182, 0.46, 0.2512,  0.54, 0.2487
model - 1591451362, 1591451370.28, 0.44, 0.2512,  0.51, 0.2499
model - 1591451362, 1591451370.379, 0.56, 0.2487,  0.58, 0.2487
model - 1591451362, 1591451370.478, 0.53, 0.2495,  0.42, 0.2508
model - 1591451362, 1591451370.576, 0.42, 0.251,  0.47, 0.2492
model - 1591451362, 1591451370.679, 0.57, 0.2475,  0.54, 0.2488
model - 1591451362, 1591451370.798, 0.53, 0.2471,  0.5, 0.2529
model - 1591451362, 1591451370.921, 0.47, 0.2541,  0.59, 0.2464
model - 1591451362, 1591451371.019, 0.53, 0.2431,  0.54, 0.2477
model - 1591451362, 1591451371.115, 0.5, 0.25,  0.5, 0.249
model - 1591451362, 1591451371.245, 0.48, 0.2495,  0.53, 0.2472
model - 1591451362, 1591451371.357, 0.57, 0.2485,  0.65, 0.2462
model - 1591451362, 1591451371.476, 0.46, 0.2504,  0.55, 0.25
model - 1591451362, 1591451371.576, 0.48, 0.2482,  0.61, 0.2485
model - 1591451362, 1591451371.693, 0.6, 0.2498,  0.5, 0.2514
model - 1591451362, 1591451371.808, 0.57, 0.2483,  0.56, 0.2479
model - 1591451362, 1591451371.921, 0.48, 0.25,  0.51, 0.2469
model - 1591451362, 1591451372.024, 0.52, 0.2477,  0.5, 0.2479
model - 1591451362, 1591451372.122, 0.52, 0.2481,  0.57, 0.247
model - 1591451362, 1591451372.222, 0.51, 0.2489,  0.57, 0.2453
model - 1591451362, 1591451372.357, 0.53, 0.2479,  0.5, 0.2486
model - 1591451362, 1591451372.458, 0.58, 0.2436,  0.47, 0.2475
model - 1591451362, 1591451372.556, 0.63, 0.2455,  0.56, 0.2506
model - 1591451362, 1591451372.654, 0.52, 0.2488,  0.51, 0.2492
model - 1591451362, 1591451372.759, 0.57, 0.2435,  0.53, 0.236
model - 1591451362, 1591451372.859, 0.57, 0.2431,  0.53, 0.2468
model - 1591451362, 1591451372.958, 0.57, 0.2453,  0.52, 0.242
model - 1591451362, 1591451373.058, 0.6, 0.2406,  0.45, 0.2553
model - 1591451362, 1591451373.194, 0.51, 0.2503,  0.44, 0.2559
model - 1591451362, 1591451373.306, 0.45, 0.2612,  0.49, 0.249
model - 1591451362, 1591451373.407, 0.55, 0.2442,  0.51, 0.2481
model - 1591451362, 1591451373.519, 0.54, 0.2517,  0.54, 0.2403
model - 1591451362, 1591451373.645, 0.68, 0.2393,  0.56, 0.2448
model - 1591451362, 1591451373.744, 0.55, 0.2472,  0.6, 0.2382
model - 1591451362, 1591451373.842, 0.54, 0.2472,  0.58, 0.2401
model - 1591451362, 1591451373.961, 0.49, 0.2483,  0.5, 0.2459
model - 1591451362, 1591451374.066, 0.52, 0.2465,  0.58, 0.2414
model - 1591451362, 1591451374.162, 0.55, 0.2438,  0.56, 0.2551
